"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Nov., 2014"	"2014/11"	10	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Jan., 2015"	"2015/01"	14	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Jun., 2015"	"2015/06"	14	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Jul., 2015"	"2015/07"	11	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Sep., 2015"	"2015/09"	10	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Feb., 2016"	"2016/02"	10	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Aug., 2016"	"2016/08"	10	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Oct., 2016"	"2016/10"	10	Not Applicable	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"2015"	"2015"	"Aug., 2015"	"2015/08"	10	Not Applicable	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"2016"	"2016"	"Aug., 2016"	"2016/08"	10	Not Applicable	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	"May, 2015"	"2015/05"	10	Not Applicable	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"2016"	"2016"	"Jul., 2016"	"2016/07"	11	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Jan., 2014"	"2014/01"	48	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Feb., 2014"	"2014/02"	45	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Mar., 2014"	"2014/03"	62	Not Applicable	Not Applicable	Not Applicable
