"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Jefferson County, AL"	"01073"	"2010"	"2010"	"May, 2010"	"2010/05"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2011"	"2011"	"Jan., 2011"	"2011/01"	13	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2011"	"2011"	"Mar., 2011"	"2011/03"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2012"	"2012"	"Mar., 2012"	"2012/03"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2012"	"2012"	"May, 2012"	"2012/05"	11	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2012"	"2012"	"Jun., 2012"	"2012/06"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2012"	"2012"	"Dec., 2012"	"2012/12"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2013"	"2013"	"Jul., 2013"	"2013/07"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2013"	"2013"	"Aug., 2013"	"2013/08"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2013"	"2013"	"Sep., 2013"	"2013/09"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2013"	"2013"	"Nov., 2013"	"2013/11"	12	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"2010"	"2010"	"Aug., 2010"	"2010/08"	10	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"2012"	"2012"	"Aug., 2012"	"2012/08"	12	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"2012"	"2012"	"Oct., 2012"	"2012/10"	10	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Jan., 2010"	"2010/01"	33	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Feb., 2010"	"2010/02"	36	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Mar., 2010"	"2010/03"	52	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Apr., 2010"	"2010/04"	51	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"May, 2010"	"2010/05"	48	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Jun., 2010"	"2010/06"	39	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Jul., 2010"	"2010/07"	70	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Aug., 2010"	"2010/08"	56	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Sep., 2010"	"2010/09"	47	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Oct., 2010"	"2010/10"	52	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Nov., 2010"	"2010/11"	32	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Dec., 2010"	"2010/12"	48	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Jan., 2011"	"2011/01"	54	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Feb., 2011"	"2011/02"	50	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Mar., 2011"	"2011/03"	49	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Apr., 2011"	"2011/04"	56	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"May, 2011"	"2011/05"	52	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Jun., 2011"	"2011/06"	56	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Jul., 2011"	"2011/07"	53	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Aug., 2011"	"2011/08"	44	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Sep., 2011"	"2011/09"	53	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Oct., 2011"	"2011/10"	61	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Nov., 2011"	"2011/11"	44	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Dec., 2011"	"2011/12"	49	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Jan., 2012"	"2012/01"	62	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Feb., 2012"	"2012/02"	45	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Mar., 2012"	"2012/03"	43	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Apr., 2012"	"2012/04"	51	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"May, 2012"	"2012/05"	51	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Jun., 2012"	"2012/06"	62	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Jul., 2012"	"2012/07"	56	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Aug., 2012"	"2012/08"	53	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Sep., 2012"	"2012/09"	58	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Oct., 2012"	"2012/10"	42	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Nov., 2012"	"2012/11"	40	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Dec., 2012"	"2012/12"	41	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Jan., 2013"	"2013/01"	52	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Feb., 2013"	"2013/02"	48	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Mar., 2013"	"2013/03"	51	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Apr., 2013"	"2013/04"	57	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"May, 2013"	"2013/05"	62	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Jun., 2013"	"2013/06"	54	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Jul., 2013"	"2013/07"	51	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Aug., 2013"	"2013/08"	46	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Sep., 2013"	"2013/09"	60	Not Applicable	Not Applicable
